"name","number","start_year","end_year","supplier","latitude","longitude","elevation"
"WYNDHAM SIX MILE HOTEL","1022","1900","1917","Bureau of Meteorology","-15.4997","128.1997","9.0"
"EL QUESTRO","1023","1967","","Bureau of Meteorology","-16.0086","127.9806","90.0"
"ELLENBRAE","1024","1986","","Bureau of Meteorology","-15.9572","127.0628","300.0"
"DOONGAN","1025","1988","","Bureau of Meteorology","-15.3797","126.3114","385.0"
"DRYSDALE RIVER STATION","1026","1988","","Bureau of Meteorology","-15.7025","126.3786","370.0"
"DIGGERS REST","1027","1971","","Bureau of Meteorology","-15.6394","128.0803","14.0"
"HOME VALLEY","1028","1991","","Bureau of Meteorology","-15.7231","127.8292","10.0"
"WYNDHAM NORTH","1029","1989","1996","Bureau of Meteorology","-15.4467","128.1075","15.0"
"KIMBERLEY COASTAL CAMP","1030","1995","","Bureau of Meteorology","-14.5786","125.9133","3.0"
"FARAWAY BAY","1031","1996","","Bureau of Meteorology","-13.96","127.1964","60.0"
"MCGOWAN ISLAND","1032","1997","2000","Bureau of Meteorology","-14.1472","126.6483","6.0"
"DRYSDALE RIVER AIRSTRIP","1033","1999","2003","Bureau of Meteorology","-15.7119","126.3817","380.0"
"WEST BASTION","1034","2001","","Bureau of Meteorology","-15.4533","128.1239","333.0"
"PARRY CREEK FARM","1035","2002","","Bureau of Meteorology","-15.5969","128.2781","20.0"
"ALICE DOWNS","2000","1904","2004","Bureau of Meteorology","-17.7569","127.9386","363.0"
"ARGYLE DOWNS","2001","1890","","Bureau of Meteorology","-16.5039","128.9172","120.0"
"BOHEMIA DOWNS","2002","1906","1959","Bureau of Meteorology","-18.8833","126.2333","215.0"
"BOW RIVER","2003","1945","1995","Bureau of Meteorology","-16.87","128.1836","194.0"
"GLEN HILL","2004","1962","1964","Bureau of Meteorology","-16.5833","128.3667","222.0"
"CARLTON HILL","2005","1897","","Bureau of Meteorology","-15.4864","128.5344","20.0"
"ASCOT","2006","1910","1921","Bureau of Meteorology","-15.5","128.25","5.0"
"DUNHAM RIVER STATION","2007","1920","1973","Bureau of Meteorology","-16.3167","128.25","126.0"
"FLORA VALLEY OLD","2008","1898","1975","Bureau of Meteorology","-18.3167","128.0","290.0"
"GIBB RIVER","2009","1922","","Bureau of Meteorology","-16.4203","126.4411","488.0"
"GORDON DOWNS","2010","1919","1997","Bureau of Meteorology","-18.7506","128.5842","354.0"
"OLD HALLS CREEK","2011","1890","1999","Bureau of Meteorology","-18.2519","127.7817","360.0"
"HALLS CREEK AIRPORT","2012","1944","","Bureau of Meteorology","-18.2292","127.6636","422.0"
"IVANHOE STATION","2013","1907","","Bureau of Meteorology","-15.69","128.6833","40.0"
"KIMBERLEY RES.STATION","2014","1944","","Bureau of Meteorology","-15.6547","128.7092","31.0"
"LAMBOO","2015","1920","2007","Bureau of Meteorology","-18.4086","127.3547","400.0"
"LISSADELL","2016","1895","","Bureau of Meteorology","-16.6742","128.5533","120.0"
"LOUISA DOWNS","2017","1915","1995","Bureau of Meteorology","-18.7106","126.7111","248.0"
"MABEL DOWNS","2018","1922","2004","Bureau of Meteorology","-17.1792","128.1217","254.0"
"MARGARET RIVER STATION","2019","1913","","Bureau of Meteorology","-18.6253","126.8617","280.0"
"MOOLA BULLA","2020","1903","","Bureau of Meteorology","-18.1894","127.5011","430.0"
"MOUNT AMHURST","2021","1925","","Bureau of Meteorology","-18.3869","126.9892","300.0"
"MOUNT WINIFRED","2022","2000","","Bureau of Meteorology","-18.016","126.3033","180.0"
"NICHOLSON","2023","1921","","Bureau of Meteorology","-18.031","128.8941","380.0"
"ORD RIVER","2024","1894","1967","Bureau of Meteorology","-17.4","128.85","155.0"
"ROCKHOLE DOWNS","2025","1922","1949","Bureau of Meteorology","-18.3667","127.5667","468.0"
"RUBY PLAINS","2026","1900","","Bureau of Meteorology","-18.5958","127.6419","450.0"
"SPEEWA STATION","2027","1908","1944","Bureau of Meteorology","-16.35","128.0333","285.0"
"SPRING CREEK","2028","1927","","Bureau of Meteorology","-16.8181","128.8656","180.0"
"STURT CREEK","2029","1899","","Bureau of Meteorology","-19.1625","128.1633","400.0"
"YULMBU","2030","1950","","Bureau of Meteorology","-17.2986","126.9158","450.0"
"TEXAS DOWNS","2031","1922","1995","Bureau of Meteorology","-17.0103","128.4669","250.0"
"WARMUN","2032","1897","","Bureau of Meteorology","-17.0156","128.2175","203.0"
"TURNER RIVER","2033","1920","1965","Bureau of Meteorology","-17.8","128.3","220.0"
"ELVIRE","2034","1962","1969","Bureau of Meteorology","-18.45","127.95","324.0"
"GREENVALE","2035","1914","1944","Bureau of Meteorology","-17.15","127.75","527.0"
"OLD MORNINGTON HOMESTEAD","2036","2002","","Bureau of Meteorology","-17.3922","126.2306","280.0"
"VIOLET VALLEY","2037","1912","1941","Bureau of Meteorology","-17.3","128.0","395.0"
"KUNUNURRA","2038","1962","1991","Bureau of Meteorology","-15.7828","128.7353","47.0"
"DIMOND GORGE","2039","1963","","Bureau of Meteorology","-17.6667","126.0333","169.0"
"SAUNDERS CREEK","2040","1964","1974","Bureau of Meteorology","-18.0333","127.9833","426.0"
"ORD RIVER REGENERATION STATION","2041","1962","1997","Bureau of Meteorology","-17.385","128.9231","170.0"
"GLENROY","2042","1932","1993","Bureau of Meteorology","-17.3594","126.1086","240.0"
"MOUNT KRAUSS","2043","1999","","Bureau of Meteorology","-18.3368","126.1243","160.0"
"LAKE ARGYLE RESORT","2044","1969","","Bureau of Meteorology","-16.1119","128.7414","163.0"
"FOAL CREEK","2045","1970","1970","Bureau of Meteorology","-17.3167","127.7","482.0"
"ADA VALE","2046","1920","1925","Bureau of Meteorology","-16.95","128.1","311.0"
"BEDFORD DOWNS","2047","1970","","Bureau of Meteorology","-17.2631","127.4617","530.0"
"FLORA VALLEY","2048","1970","","Bureau of Meteorology","-18.2972","128.4419","380.0"
"SOPHIE DOWNS","2049","1980","","Bureau of Meteorology","-18.1947","127.8147","400.0"
"SPRINGVALE","2050","1991","","Bureau of Meteorology","-17.7842","127.6853","420.0"
"BILLILUNA","2051","1970","","Bureau of Meteorology","-19.5561","127.6644","305.0"
"TROPICAL FARM - ORD RIVER","2052","1980","2005","Bureau of Meteorology","-15.8367","128.7397","40.0"
"LANSDOWNE","2053","1947","","Bureau of Meteorology","-17.6133","126.7442","400.0"
"SPRINGVALE WEST","2054","1971","1972","Bureau of Meteorology","-17.8333","127.2333","392.0"
"LEWIS CREEK","2055","1936","1940","Bureau of Meteorology","-19.1","128.5333","437.0"
"KUNUNURRA AERO","2056","1971","","Bureau of Meteorology","-15.7814","128.71","44.0"
"BUNGLE BUNGLE NATIONAL PARK","2057","1990","2005","Bureau of Meteorology","-17.4206","128.2992","320.0"
"EUROTO","2058","1935","1940","Bureau of Meteorology","-18.35","128.4833","356.0"
"RUBY CREEK GOLDMINE","2059","1898","1900","Bureau of Meteorology","-18.4333","127.75","375.0"
"KINGSTON REST","2060","1969","","Bureau of Meteorology","-16.0397","128.415","69.0"
"CARRANYA","2061","1963","","Bureau of Meteorology","-19.3322","127.6367","338.0"
"FOX RIVER","2062","1975","","Bureau of Meteorology","-18.4236","128.0314","310.0"
"LARRANGANNI","2063","1976","1978","Bureau of Meteorology","-19.8761","128.4581","470.0"
"ARGYLE AERODROME","2064","1986","","Bureau of Meteorology","-16.6381","128.4517","164.0"
"MORNINGTON","2065","1991","2004","Bureau of Meteorology","-17.3936","126.2281","280.0"
"CARRANYA 2","2066","1991","1995","Bureau of Meteorology","-19.1764","127.6497","350.0"
"KUNUNURRA CHECKPOINT","2067","1993","","Bureau of Meteorology","-15.9816","128.9991","80.0"
"MARION DOWNS","2068","1993","","Bureau of Meteorology","-17.0716","126.8494","460.0"
"KACHANA","2069","1993","","Bureau of Meteorology","-16.4433","127.7836","270.0"
"PHILLIPS RANGE","2070","1994","1995","Bureau of Meteorology","-16.8828","126.1267","416.0"
"HALLS CREEK COMPARISON (OLD)","2071","1996","2001","Bureau of Meteorology","-18.2303","127.6625","422.0"
"BEDFORD DOWNS AIRSTRIP","2072","2011","","Bureau of Meteorology","-17.2797","127.4648","531.0"
"MARGARET RIVER AIRSTRIP","2073","2006","","Bureau of Meteorology","-18.6219","126.8831","270.0"
"MOOLA BULLA AIRSTRIP","2074","2003","","Bureau of Meteorology","-18.1958","127.4948","440.0"
"BULKA","2075","1995","","Bureau of Meteorology","-19.0378","126.0931","190.0"
"MORNINGTON","2076","2004","","Bureau of Meteorology","-17.5169","126.1108","190.0"
"SIDDINS CREEK","2077","2009","","Bureau of Meteorology","-16.9203","126.5511","410.0"
"LARRAWA AIRFIELD","2078","2009","","Bureau of Meteorology","-18.8318","126.5301","270.0"
"BEAGLE BAY","3000","1902","","Bureau of Meteorology","-16.9806","122.6667","9.0"
"COUNTRY DOWNS","3001","1969","","Bureau of Meteorology","-17.2767","122.5711","153.0"
"BROOME POST OFFICE","3002","1889","1953","Bureau of Meteorology","-17.95","122.25","19.0"
"BROOME AIRPORT","3003","1939","","Bureau of Meteorology","-17.9475","122.2353","7.4"
"CAPE LEVEQUE","3004","1917","","Bureau of Meteorology","-16.3961","122.9278","25.0"
"FAIRFIELD STATION","3005","1950","","Bureau of Meteorology","-17.5725","125.0675","120.0"
"FITZROY CROSSING COMP.","3006","1893","2000","Bureau of Meteorology","-18.1919","125.5644","114.0"
"DERBY POST OFFICE","3007","1882","1997","Bureau of Meteorology","-17.3044","123.6292","8.0"
"ELLENDALE","3008","1919","","Bureau of Meteorology","-17.9281","124.8108","120.0"
"JUBILEE DOWNS","3009","1937","","Bureau of Meteorology","-18.355","125.3033","100.0"
"KIMBERLEY DOWNS","3010","1885","","Bureau of Meteorology","-17.3925","124.3578","90.0"
"LEOPOLD DOWNS","3011","1899","","Bureau of Meteorology","-17.7535","125.3807","220.0"
"LIVERINGA UPPER","3012","1898","2002","Bureau of Meteorology","-18.0483","124.1728","60.0"
"LULUIGUI","3013","1920","1983","Bureau of Meteorology","-18.145","124.0275","80.0"
"GOGO STATION","3014","1908","","Bureau of Meteorology","-18.2914","125.5869","150.0"
"MEDA","3015","1911","2000","Bureau of Meteorology","-17.3681","123.9956","75.0"
"MOUNT ANDERSON","3016","1899","1986","Bureau of Meteorology","-18.0358","123.9286","40.0"
"MOUNT HOUSE STATION","3017","1923","","Bureau of Meteorology","-17.0514","125.7056","270.0"
"MYROODAH","3018","1907","","Bureau of Meteorology","-18.1225","124.2692","60.0"
"NAPIER DOWNS","3019","1912","","Bureau of Meteorology","-17.3306","124.8167","80.0"
"NERRIMA","3020","1935","","Bureau of Meteorology","-18.4922","124.3992","95.0"
"NOONKANBAH","3021","1898","1992","Bureau of Meteorology","-18.4875","124.8231","70.0"
"QUANBUN DOWNS","3022","1898","","Bureau of Meteorology","-18.3817","125.2267","100.0"
"ROEBUCK PLAINS","3023","1902","","Bureau of Meteorology","-17.9311","122.4725","15.0"
"UDIALLA","3024","1930","","Bureau of Meteorology","-17.9464","123.7383","20.0"
"YEEDA","3026","1890","","Bureau of Meteorology","-17.6153","123.6483","5.0"
"FOSSIL DOWNS","3027","1904","","Bureau of Meteorology","-18.1386","125.7764","120.0"
"ANNA PLAINS","3028","1908","","Bureau of Meteorology","-19.2536","121.4861","10.0"
"FRAZIER DOWNS","3029","1910","1980","Bureau of Meteorology","-18.7983","121.7125","9.0"
"BIDYADANGA","3030","1891","","Bureau of Meteorology","-18.6844","121.7803","11.0"
"LOMBADINA MISSION","3031","1946","1993","Bureau of Meteorology","-16.5167","122.8908","20.0"
"DERBY AERO","3032","1951","","Bureau of Meteorology","-17.3706","123.6611","6.2"
"BLINA","3033","1938","","Bureau of Meteorology","-17.7472","124.5283","60.0"
"ECO BEACH","3034","1998","1999","Bureau of Meteorology","-18.3381","122.0758","15.0"
"MUNJA","3035","1922","1948","Bureau of Meteorology","-16.4","124.95","55.0"
"BROOME QUARANTINE STATION","3036","1952","1953","Bureau of Meteorology","-18.0","122.2167","9.0"
"MUNKAYARRA","3037","1958","1958","Bureau of Meteorology","-17.4333","123.75","21.0"
"LIVERINGA 2","3038","1958","1960","Bureau of Meteorology","-17.95","124.1667","60.0"
"SILENT GROVE","3039","1959","1972","Bureau of Meteorology","-16.9667","125.3","235.0"
"CAMBALLIN","3040","1958","","Bureau of Meteorology","-17.9903","124.1922","45.0"
"KILTO STATION","3041","1962","","Bureau of Meteorology","-17.6919","122.7169","60.0"
"TALGARNO","3042","1959","1963","Bureau of Meteorology","-19.2833","121.5","3.0"
"CHRISTMAS CREEK HOMESTEAD","3043","1960","","Bureau of Meteorology","-18.8772","125.9207","160.0"
"BROOKING SPRINGS","3044","1901","","Bureau of Meteorology","-18.1103","125.6431","110.0"
"CALANGADIE","3045","1921","1939","Bureau of Meteorology","-19.1","121.5","0.0"
"CHERRABUN","3046","1906","1972","Bureau of Meteorology","-18.4833","125.3333","91.0"
"DAMPIER DOWNS","3047","1929","1940","Bureau of Meteorology","-18.4","123.1","166.0"
"CHERRABUN","3048","1962","2011","Bureau of Meteorology","-18.9158","125.5264","151.0"
"ISADELL DOWNS","3049","1913","1927","Bureau of Meteorology","-16.9","125.7","382.0"
"LIVERINGA LOWER","3050","1887","1896","Bureau of Meteorology","-17.95","124.1667","60.0"
"MOUNT BARNETT","3051","1983","","Bureau of Meteorology","-16.7372","125.9086","401.0"
"MOUNT HART STATION","3052","1925","","Bureau of Meteorology","-16.8206","124.9158","190.0"
"OBAGAMA","3053","1895","1934","Bureau of Meteorology","-16.7","123.9833","21.0"
"POINT TORMENT","3054","1904","1923","Bureau of Meteorology","-17.1","123.7","5.0"
"ROLLAH","3055","1907","1919","Bureau of Meteorology","-18.7","121.75","6.0"
"THANGOO","3056","1892","","Bureau of Meteorology","-18.1792","122.3583","5.0"
"CYGNET BAY","3057","1963","","Bureau of Meteorology","-16.4514","123.0086","7.0"
"MILLAJIDDIE","3058","1964","1969","Bureau of Meteorology","-18.8333","124.95","60.0"
"NITA DOWNS","3059","1964","","Bureau of Meteorology","-19.0861","121.6764","31.0"
"ARDJORIE","3060","1966","1973","Bureau of Meteorology","-18.7667","123.6833","152.0"
"KIMBOLTON RANGE STATION 1","3061","1966","1978","Bureau of Meteorology","-16.695","123.8625","250.0"
"BEVERLEY SP","3062","1959","1967","Bureau of Meteorology","-16.5833","125.4833","407.0"
"CHARNLEY RIVER","3063","1968","","Bureau of Meteorology","-16.7161","125.4603","400.0"
"FITZROY A.I.M","3064","1970","1974","Bureau of Meteorology","-18.1667","125.5833","110.0"
"KALYEEDA","3065","1972","1974","Bureau of Meteorology","-18.55","124.7167","69.0"
"PORT SMITH","3066","1973","","Bureau of Meteorology","-18.5175","121.8072","10.0"
"GLAROSA POULTRY LODGE","3067","1973","1974","Bureau of Meteorology","-17.3333","123.6833","8.0"
"DAMPIER DOWNS","3068","1973","","Bureau of Meteorology","-18.5075","123.4561","120.0"
"KOOLAN ISLAND","3069","1974","1992","Bureau of Meteorology","-16.1306","123.7764","152.0"
"OOBAGOOMA","3070","1974","1974","Bureau of Meteorology","-16.7667","123.9833","70.0"
"NOONKANBAH AIRSTRIP","3071","1944","1945","Bureau of Meteorology","-18.5","124.8333","83.0"
"ONE ARM POINT","3072","1975","1993","Bureau of Meteorology","-16.4508","123.0653","2.0"
"KIMBOLTON","3073","1970","","Bureau of Meteorology","-16.6872","123.8375","25.0"
"YAKKAMUNGA","3074","1983","","Bureau of Meteorology","-17.9347","123.4731","50.0"
"DERBY MAIN ROADS","3075","1983","","Bureau of Meteorology","-17.3136","123.6497","18.0"
"WESTERN FIELD","3076","1983","1985","Bureau of Meteorology","-19.3283","125.3886","240.0"
"MOWLA BLUFF","3077","1985","1995","Bureau of Meteorology","-18.5914","123.6133","120.0"
"CADJEBUT","3078","1987","2003","Bureau of Meteorology","-18.7267","125.9875","200.0"
"SHELAMAR","3079","1989","","Bureau of Meteorology","-18.9897","121.7208","20.0"
"CURTIN AERO","3080","1989","","Bureau of Meteorology","-17.5769","123.8297","77.5"
"CURTIN","3081","1990","1995","Bureau of Meteorology","-17.5778","123.8222","91.0"
"KIRBY GARDENS","3082","1991","2011","Bureau of Meteorology","-17.8672","122.3631","40.0"
"BROOME BIRD OBSERVATORY","3083","1991","1997","Bureau of Meteorology","-17.9769","122.3431","15.0"
"DERBY (MANNING RD)","3084","1992","","Bureau of Meteorology","-17.3436","123.6781","10.0"
"MOUNT JOWLAENGA","3085","1992","2002","Bureau of Meteorology","-17.4311","123.0389","80.0"
"WILLARE BRIDGE","3086","1992","","Bureau of Meteorology","-17.7278","123.6547","20.0"
"TANJUNGPANDAN","3087","1993","2000","Bureau of Meteorology","-17.5606","122.1458","15.0"
"LARRAWA","3088","1995","","Bureau of Meteorology","-18.8375","126.5247","260.0"
"BROOME COMPARISON","3089","1995","2000","Bureau of Meteorology","-17.9492","122.2339","7.0"
"DEBESA","3090","1995","","Bureau of Meteorology","-17.7981","124.0772","100.0"
"BEEFWOOD PARK","3091","1996","","Bureau of Meteorology","-18.9894","125.8478","200.0"
"SOUTH EAST WATERBANK","3092","1996","1999","Bureau of Meteorology","-17.8578","122.2725","41.0"
"FITZROY CROSSING AERO","3093","1997","","Bureau of Meteorology","-18.1814","125.5619","114.5"
"WINDJANA GORGE","3094","1997","","Bureau of Meteorology","-17.4211","124.9247","95.0"
"PILLARA SPRINGS","3095","1998","2003","Bureau of Meteorology","-18.3192","125.7806","160.0"
"WEST ROEBUCK","3096","1999","","Bureau of Meteorology","-17.8964","122.3122","32.0"
"BEVERLEY SPRINGS AIRSTRIP","3097","1999","2002","Bureau of Meteorology","-16.73","125.4386","393.0"
"MOUNT HOUSE AIRSTRIP","3098","2002","","Bureau of Meteorology","-17.0549","125.7108","270.0"
"LIVERINGA STATION","3100","2001","","Bureau of Meteorology","-17.9503","124.2653","55.0"
"DAMPIER DOWNS AIRSTRIP","3101","2006","","Bureau of Meteorology","-18.5096","123.4676","140.0"
"BROOME NTC AWS","3102","1991","","Bureau of Meteorology","-18.0008","122.2183","0.0"
"MIDDLE LAGOON","3103","2004","","Bureau of Meteorology","-16.7742","122.5764","15.0"
"BIDAN","3104","2005","","Bureau of Meteorology","-17.645","123.1678","50.0"
"LAUREL DOWNS","3105","2007","","Bureau of Meteorology","-18.1106","125.3364","175.0"
"ELLENDALE MINESITE","3106","2007","","Bureau of Meteorology","-17.5669","124.8411","125.0"
"SILVER GULL CREEK","3107","2014","","Bureau of Meteorology","-16.1903","123.7025","17.0"
"ABYDOS","4000","1917","1974","Bureau of Meteorology","-21.4167","118.9333","226.0"
"WOODBROOK","4001","1897","1974","Bureau of Meteorology","-20.9","117.1167","37.0"
"PORT HEDLAND POST OFFICE","4002","1897","1948","Bureau of Meteorology","-20.3139","118.5742","8.0"
"BALFOUR DOWNS","4003","1907","1998","Bureau of Meteorology","-22.8","120.8625","500.0"
"BAMBOO CREEK","4004","1897","","Bureau of Meteorology","-20.9264","120.2075","250.0"
"BAMBOO SPRINGS","4005","1905","1978","Bureau of Meteorology","-22.0517","119.6325","400.0"
"BONNEY DOWNS","4006","1907","","Bureau of Meteorology","-22.1828","119.935","480.0"
"BOODARIE","4007","1887","1973","Bureau of Meteorology","-20.4","118.4667","6.0"
"CARLINDIE","4008","1907","","Bureau of Meteorology","-20.6392","119.2431","120.0"
"COONGAN STATION","4009","1904","1974","Bureau of Meteorology","-20.6833","119.6667","81.0"
"COOYA POOYA","4010","1900","1974","Bureau of Meteorology","-21.0333","117.1333","200.0"
"CORUNNA DOWNS","4011","1897","1975","Bureau of Meteorology","-21.4667","119.8333","400.0"
"DE GREY","4012","1888","","Bureau of Meteorology","-20.1756","119.1908","15.0"
"ETTRICK","4013","1901","1964","Bureau of Meteorology","-20.5167","119.6667","58.0"
"EGINBAH","4014","1930","1974","Bureau of Meteorology","-20.85","119.7667","113.0"
"HILLSIDE STATION","4015","1917","","Bureau of Meteorology","-21.7219","119.3989","271.0"
"INDEE","4016","1909","","Bureau of Meteorology","-20.7867","118.5972","80.0"
"STATION PEAK","4017","1904","1911","Bureau of Meteorology","-21.15","118.1","127.0"
"LIMESTONE","4018","1925","1967","Bureau of Meteorology","-21.1833","119.8167","185.0"
"MANDORA","4019","1913","","Bureau of Meteorology","-19.7419","120.8433","7.5"
"MARBLE BAR COMPARISON","4020","1895","2006","Bureau of Meteorology","-21.1756","119.7497","182.3"
"MOUNT EDGAR","4021","1901","1999","Bureau of Meteorology","-21.3122","120.0586","270.0"
"MUCCAN","4022","1898","1999","Bureau of Meteorology","-20.6333","120.0544","85.0"
"MULYIE","4023","1888","1998","Bureau of Meteorology","-20.4619","119.5189","30.0"
"MUNDABULLANGANA","4024","1899","","Bureau of Meteorology","-20.5192","118.0603","20.0"
"NIMINGARRA","4025","1909","1966","Bureau of Meteorology","-20.5","119.8","75.0"
"NOREENA DOWNS","4026","1911","","Bureau of Meteorology","-22.2914","120.1761","495.0"
"NULLAGINE","4027","1897","2004","Bureau of Meteorology","-21.8861","120.1103","380.0"
"PARDOO STATION","4028","1904","","Bureau of Meteorology","-20.1078","119.5811","9.0"
"PARDOO OUT STATION","4029","1954","1954","Bureau of Meteorology","-19.9333","120.2","8.0"
"PILGA","4030","1915","1961","Bureau of Meteorology","-21.4","119.4","212.0"
"POINT SAMSON","4031","1949","1984","Bureau of Meteorology","-20.6267","117.1925","30.0"
"PORT HEDLAND AIRPORT","4032","1942","","Bureau of Meteorology","-20.3725","118.6317","6.4"
"PYRAMID STATION","4033","1951","","Bureau of Meteorology","-21.0561","117.4436","40.0"
"RPF 734 MILE","4034","1913","1947","Bureau of Meteorology","-22.0167","121.4","401.0"
"ROEBOURNE","4035","1887","","Bureau of Meteorology","-20.7767","117.1456","12.0"
"STRELLEY","4036","1906","","Bureau of Meteorology","-20.4681","119.0556","67.0"
"TALGA TALGA","4037","1897","1970","Bureau of Meteorology","-21.05","120.0","200.0"
"WALLAREENYA","4038","1908","","Bureau of Meteorology","-20.7483","118.8172","97.0"
"WARAMBIE","4039","1937","","Bureau of Meteorology","-20.9469","117.3733","30.0"
"WARRALONG","4040","1899","1984","Bureau of Meteorology","-20.6472","119.5869","84.0"
"WARRAWAGINE","4041","1897","","Bureau of Meteorology","-20.8508","120.6961","159.0"
"WHIM CREEK","4042","1897","","Bureau of Meteorology","-20.8414","117.8353","32.0"
"REDMONT","4043","1925","2012","Bureau of Meteorology","-21.9931","119.0131","387.0"
"WIDJUP OUTCAMP","4044","1921","1948","Bureau of Meteorology","-19.5","121.3","9.0"
"ABYDOS WOODSTOCK","4045","1901","1997","Bureau of Meteorology","-21.62","118.955","250.0"
"YARRIE","4046","1898","","Bureau of Meteorology","-20.6739","120.2044","100.0"
"TABBA TABBA","4047","1924","1976","Bureau of Meteorology","-20.8333","118.9","120.0"
"YANDEEARRA","4048","1902","1999","Bureau of Meteorology","-21.2853","118.4042","120.0"
"SPLIT ROCK","4049","1927","1949","Bureau of Meteorology","-21.6","119.6","368.0"
"YALGOORA","4050","1937","1949","Bureau of Meteorology","-21.6","119.7","339.0"
"BALLA BALLA","4051","1898","1927","Bureau of Meteorology","-20.6","117.8","0.0"
"RPF 80 MILE","4052","1909","1943","Bureau of Meteorology","-20.5667","120.65","178.0"
"CONDON","4053","1889","1927","Bureau of Meteorology","-20.0","119.4","3.0"
"COSSACK","4054","1881","","Bureau of Meteorology","-20.6783","117.1892","7.0"
"CROYDON","4055","1900","1946","Bureau of Meteorology","-21.1","117.8","71.0"
"KANGAN","4056","1935","1945","Bureau of Meteorology","-21.1","118.5167","116.0"
"LALLA ROOKH","4057","1917","1973","Bureau of Meteorology","-20.8833","119.15","120.0"
"LOCHNAVAR","4058","1912","1919","Bureau of Meteorology","-20.7","121.0167","205.0"
"MALLINA","4059","1900","","Bureau of Meteorology","-20.8822","118.0308","40.0"
"MIDDLE CREEK","4060","1904","1915","Bureau of Meteorology","-21.8","120.3","348.0"
"MOUNT SATIRIST","4061","1912","1947","Bureau of Meteorology","-21.1","117.9833","117.0"
"MYADEE","4062","1913","1942","Bureau of Meteorology","-20.1","119.75","20.0"
"POONDAWINDIE","4063","1930","1938","Bureau of Meteorology","-22.2","120.2","516.0"
"POONDINIA","4064","1913","1936","Bureau of Meteorology","-20.45","118.8","36.0"
"RPF 672 MILE","4065","1913","1947","Bureau of Meteorology","-22.7","121.1","429.0"
"RPF 798 MILE","4066","1913","1942","Bureau of Meteorology","-21.2","121.2","286.0"
"SHAW RIVER","4067","1917","1942","Bureau of Meteorology","-20.55","119.3","56.0"
"WALLAL DOWNS","4068","1897","","Bureau of Meteorology","-19.7789","120.6417","9.0"
"WARRAWOONA","4069","1899","1914","Bureau of Meteorology","-21.3","119.8","290.0"
"COONGAN HOTEL","4070","1895","1931","Bureau of Meteorology","-20.9","119.7","145.0"
"PYRAMID 1","4071","1885","1894","Bureau of Meteorology","-21.05","117.45","42.0"
"ROSEMARY ISLAND","4072","1963","1964","Bureau of Meteorology","-20.4833","116.5333","7.0"
"NICOL PADDOCK","4073","1967","1968","Bureau of Meteorology","-20.9","116.9167","42.0"
"GOLDSWORTHY","4074","1966","1992","Bureau of Meteorology","-20.3422","119.5206","45.0"
"HARDING RIVER 1","4075","1967","1989","Bureau of Meteorology","-21.1389","117.085","200.0"
"HARDING RIVER 2","4076","1967","1989","Bureau of Meteorology","-21.175","117.2208","200.0"
"BARRAMINE","4077","1914","1918","Bureau of Meteorology","-20.7167","120.85","155.0"
"COONGAN 2","4078","1973","1973","Bureau of Meteorology","-20.7","119.35","78.0"
"YANDEE","4079","1971","1982","Bureau of Meteorology","-21.3625","118.8783","223.0"
"CALLAWA","4080","1904","1980","Bureau of Meteorology","-20.635","120.5","175.0"
"CORUNNA DOWNS AIRSTRIP","4081","1943","1945","Bureau of Meteorology","-21.4333","119.7833","244.0"
